date,admin_level_1,state,tests_increase,tests_total,tests_pending,cases_positive_increase,cases_positive_total,cases_negative_increase,cases_negative_total,deaths_increase,deaths_total,recovered_total,hospitilzations_current,hospitalizations_increase,hospitalizations_total,icu_current,icu_total,ventilator_current,ventilator_total,last_checked_ts
2020-05-24,56,56,390719,15143981,3730,19122,1645332,129848,5344083,689,94238,,37741,787,94286,9148,7801,4380,639,2020-05-24 23:59:59.000000 UTC
2020-05-23,56,56,444574,14753262,4084,22482,1626210,115601,5214235,1035,93549,,38625,1130,93499,9382,7770,4621,638,2020-05-23 23:59:59.000000 UTC
2020-05-22,56,56,451428,14308688,3770,24127,1603728,173269,5098634,1286,92514,,39999,3751,92369,9708,7689,4714,633,2020-05-22 23:59:59.000000 UTC
2020-05-21,56,56,499343,13857260,3733,26751,1579601,219192,4925365,1381,91228,,41353,4374,88618,9757,7423,4871,616,2020-05-21 23:59:59.000000 UTC
2020-05-20,56,56,449396,13357917,3546,21371,1552850,167729,4706173,1395,89847,,41854,1453,84244,10212,7319,4907,613,2020-05-20 23:59:59.000000 UTC
2020-05-19,56,56,422660,12908521,2931,20700,1531479,162780,4538444,1327,88452,,42019,1286,82791,10292,7217,5032,606,2020-05-19 23:59:59.000000 UTC
2020-05-17,56,56,351921,12137194,3714,20384,1490166,138117,4243900,862,86272,,42018,766,80702,10563,7003,5467,593,2020-05-17 23:59:59.000000 UTC
2020-05-16,56,56,394424,11785273,3603,23835,1469782,132061,4105783,1249,85410,,43520,1383,79936,10880,6945,5532,592,2020-05-16 23:59:59.000000 UTC
2020-05-15,56,56,406415,11390849,2457,25407,1445947,123946,3973722,1537,84161,,44553,982,78553,11163,6890,5744,589,2020-05-15 23:59:59.000000 UTC
2020-05-13,56,56,346215,10595648,2667,21481,1393744,117018,3714514,1729,80778,,46926,1273,74860,11664,6713,6164,572,2020-05-13 23:59:59.000000 UTC
2020-05-12,56,56,340824,10249433,1800,22521,1372263,110171,3597496,1518,79049,,47347,1192,73587,11915,6585,6350,559,2020-05-12 23:59:59.000000 UTC
2020-05-11,56,56,374214,9908609,1782,18080,1349742,209165,3487325,889,77531,,46554,939,72395,11852,6488,6349,551,2020-05-11 23:59:59.000000 UTC
2020-05-10,56,56,274264,9534395,2844,21112,1331662,91529,3278160,1027,76642,,46741,565,71456,11992,6445,6392,547,2020-05-10 23:59:59.000000 UTC
2020-05-09,56,56,323895,9260131,3262,25280,1310550,110811,3186631,1459,75615,,48576,1128,70891,12165,6367,6550,543,2020-05-09 23:59:59.000000 UTC
2020-05-08,56,56,312980,8936236,3079,27198,1285270,104722,3075820,1788,74156,,49769,5697,69763,12460,6294,6793,531,2020-05-08 23:59:59.000000 UTC
2020-05-06,56,56,293617,8293548,3008,25312,1230844,98543,2876361,1931,69636,,52607,1505,60513,13196,4911,4758,449,2020-05-06 23:59:59.000000 UTC
2020-05-05,56,56,279781,7999931,2633,22392,1205532,105694,2777818,2496,67705,,53168,1399,59008,13346,4794,4810,439,2020-05-05 23:59:59.000000 UTC
2020-05-04,56,56,236185,7720150,2791,22106,1183140,86891,2672124,983,65209,,52375,1152,57609,13390,4579,4852,430,2020-05-04 23:59:59.000000 UTC
2020-05-03,56,56,239746,7483965,2836,25759,1161034,94072,2585233,1247,64226,,52623,1027,56457,13343,4502,4762,425,2020-05-03 23:59:59.000000 UTC
2020-05-02,56,56,272341,7244219,1639,29151,1135275,80894,2491161,1521,62979,,54008,1276,55430,13528,4386,4846,375,2020-05-02 23:59:59.000000 UTC
2020-05-01,56,56,285664,6971878,1496,32880,1106124,106658,2410267,1812,61458,,54888,9055,54154,13572,4300,4712,376,2020-05-01 23:59:59.000000 UTC
2020-04-30,56,56,275235,6686214,2805,30063,1073244,79570,2303609,2153,59646,,54910,1425,45099,13982,4192,4708,373,2020-04-30 23:59:59.000000 UTC
2020-04-29,56,56,257142,6410979,5023,26179,1043181,89076,2224039,2689,57493,,56010,1865,43674,14254,4093,4803,365,2020-04-29 23:59:59.000000 UTC
2020-04-18,56,56,172481,4002132,10048,27573,730257,69461,1680587,1896,36620,,57798,1459,29780,15388,2096,5733,205,2020-04-18 23:59:59.000000 UTC
2020-04-17,56,56,172149,3829651,10889,31500,702684,67602,1611126,2116,34724,,58904,1289,28321,15493,2052,6098,187,2020-04-17 23:59:59.000000 UTC
2020-04-15,56,56,149278,3474456,16901,29834,639918,57485,1464212,2541,30412,,59930,1176,25771,15302,1710,6033,173,2020-04-15 23:59:59.000000 UTC
2020-04-14,56,56,160030,3325178,16663,25943,610084,73268,1406727,2356,27871,,59601,1466,24595,14735,1642,5981,171,2020-04-14 23:59:59.000000 UTC
2020-04-07,56,56,169756,2248139,16588,30416,400780,79011,937451,2042,13974,,43849,370,14627,9978,738,4047,43,2020-04-07 23:59:59.000000 UTC
2020-08-31,56,56,680649,86248932,11128,31720,5980439,180728,27068612,380,175751,,35476,710,274013,7054,17537,2080,1877,2020-08-31 23:59:59.000000 UTC
2020-07-05,56,56,620599,38572381,1885,45374,2882035,212886,13371517,214,122764,,38872,583,155701,8170,11010,2080,1064,2020-07-05 23:59:59.000000 UTC
2020-05-14,56,56,388786,10984434,2481,26796,1420540,135262,3849776,1846,82624,,45912,2711,77571,11338,6795,5940,582,2020-05-14 23:59:59.000000 UTC
2020-04-16,56,56,183046,3657502,16872,31266,671184,79312,1543524,2196,32608,,59500,1261,27032,15830,1834,5940,176,2020-04-16 23:59:59.000000 UTC
2020-07-06,56,56,650829,39223210,1907,40902,2922937,172741,13544258,233,122997,,39960,765,156466,8336,11058,2104,1070,2020-07-06 23:59:59.000000 UTC
2020-07-02,56,56,772899,36467032,2208,53511,2727601,229405,12701762,699,121653,,37645,1699,152890,7867,10843,2104,1041,2020-07-02 23:59:59.000000 UTC
2021-01-18,56,56,1771268,287952448,11477,150792,23916080,192825,63599369,1395,390287,,123848,2839,657443,23226,39973,7772,3865,2021-01-18 23:59:59.000000 UTC
2021-01-15,56,56,2309884,282148200,11948,246454,23359985,410997,62902360,3679,383130,,127235,4000,648398,23593,39626,7772,3845,2021-01-15 23:59:59.000000 UTC
2020-11-26,56,56,1467611,191969471,14856,129764,12903480,179941,49220614,1392,255181,,90564,2333,444893,18019,29673,5986,3153,2020-11-26 23:59:59.000000 UTC
2020-04-11,56,56,158549,2899065,16619,31323,531837,64373,1208805,2079,22187,,55563,1208,20131,13856,1399,5986,152,2020-04-11 23:59:59.000000 UTC
2021-01-11,56,56,1695767,274017787,11039,195255,22445404,225808,61518789,1733,367385,,129793,3045,630637,23501,38823,7786,3773,2021-01-11 23:59:59.000000 UTC
2020-12-19,56,56,1859539,233866045,12420,204873,17572778,200763,55481072,2708,307814,,113914,3429,539232,21692,34949,7786,3529,2020-12-19 23:59:59.000000 UTC
2020-12-18,56,56,2193466,232006506,13454,241786,17367905,450795,55280309,2866,305106,,113955,5214,535803,21745,34716,7786,3519,2020-12-18 23:59:59.000000 UTC
2020-08-17,56,56,702582,74752658,4298,37751,5400622,186974,24013625,411,162498,,43614,1224,252912,8881,15985,2444,1678,2020-08-17 23:59:59.000000 UTC
2020-07-22,56,56,901870,52675225,3051,69442,3937243,263888,17613013,1149,135433,,59759,2237,189851,10339,12792,2444,1258,2020-07-22 23:59:59.000000 UTC
2021-02-08,56,56,1400009,324485266,12114,77737,26875063,142156,69029225,1309,455455,,80055,1638,725692,16174,42833,5260,4080,2021-02-08 23:59:59.000000 UTC
2020-05-18,56,56,348667,12485861,2989,20613,1510779,131764,4375664,853,87125,,41935,803,81505,10423,7064,5260,602,2020-05-18 23:59:59.000000 UTC
2020-08-04,56,56,806693,63876973,3789,51205,4731136,236338,20861692,1242,148962,,53436,4423,222065,10207,14537,2701,1493,2020-08-04 23:59:59.000000 UTC
2020-07-31,56,56,988464,60749939,3956,67835,4523226,98958,19932106,1324,145507,,55718,2531,212867,10471,14044,2701,1437,2020-07-31 23:59:59.000000 UTC
2020-12-07,56,56,1653269,211008506,13484,181897,14955851,268980,51647749,1291,275315,,102122,3461,487081,20097,32120,7067,3328,2020-12-07 23:59:59.000000 UTC
2020-05-07,56,56,329708,8623256,3358,27228,1258072,94737,2971098,2732,72368,,51445,3553,64066,12832,5189,7067,529,2020-05-07 23:59:59.000000 UTC
2020-08-18,56,56,771994,75524652,4412,40070,5440692,205817,24219442,1179,163677,,43840,2261,255173,8859,16123,2467,1695,2020-08-18 23:59:59.000000 UTC
2020-07-23,56,56,929251,53604476,3179,71426,4008669,312090,17925103,1071,136504,,59862,2371,192222,10370,12933,2467,1280,2020-07-23 23:59:59.000000 UTC
2020-07-27,56,56,768987,57122702,3398,54484,4263804,243001,19050243,1066,140317,,58987,1632,200116,10183,13413,2723,1356,2020-07-27 23:59:59.000000 UTC
2020-07-26,56,56,859179,56353715,3361,60768,4209320,290147,18807242,561,139251,,58731,1380,198484,10424,13343,2723,1336,2020-07-26 23:59:59.000000 UTC
2021-01-14,56,56,2048899,279838316,12138,225616,23113531,305894,62491363,3915,379451,,128947,3792,644398,23891,39418,7878,3829,2021-01-14 23:59:59.000000 UTC
2021-01-10,56,56,2051661,272322020,10957,228732,22250149,270382,61292981,2068,365652,,129223,2413,627592,23640,38706,7878,3771,2021-01-10 23:59:59.000000 UTC
2020-12-27,56,56,1395240,248193350,10280,153540,19044826,204288,57654792,1397,324826,,118720,2302,565017,22447,36164,7878,3604,2020-12-27 23:59:59.000000 UTC
2021-01-04,56,56,1512611,260686674,9463,179571,20715626,148614,59422210,1547,344802,,128210,3892,597582,23435,37586,7930,3692,2021-01-04 23:59:59.000000 UTC
2020-12-30,56,56,1583713,252452699,14200,229496,19638128,215107,58381318,3900,333505,,125220,5514,579515,23069,36855,7930,3653,2020-12-30 23:59:59.000000 UTC
2020-03-31,56,56,114567,1183548,59550,25000,196965,44334,460602,909,4331,,18155,1492,6700,3487,230,506,,2020-03-31 23:59:59.000000 UTC
2020-03-30,56,56,100592,1068981,65369,21139,171965,50165,416268,584,3422,,15892,584,5208,3087,187,449,,2020-03-30 23:59:59.000000 UTC
2020-03-29,56,56,86974,968389,65404,19683,150826,41832,366103,506,2838,,14055,559,4624,2456,156,433,,2020-03-29 23:59:59.000000 UTC
2020-03-28,56,56,111430,881415,65698,19785,131143,68463,324271,550,2332,,12393,682,4065,2174,140,390,,2020-03-28 23:59:59.000000 UTC
2020-03-27,56,56,101260,769985,59795,19215,111358,45156,255808,411,1782,,10887,777,3383,1792,124,293,,2020-03-27 23:59:59.000000 UTC
2020-03-26,56,56,106945,668725,60131,17592,92143,42359,210652,313,1371,,7805,655,2606,1299,91,258,,2020-03-26 23:59:59.000000 UTC
2020-03-25,56,56,82429,561780,51143,12657,74551,33006,168293,241,1058,,5140,873,1951,,74,167,,2020-03-25 23:59:59.000000 UTC
2020-03-24,56,56,86845,479351,14368,10896,61894,33947,135287,235,817,,3938,261,1078,,,,,2020-03-24 23:59:59.000000 UTC
2020-03-23,56,56,57023,392506,14551,11190,50998,21109,101340,102,582,,2812,190,817,,,,,2020-03-23 23:59:59.000000 UTC
2020-03-22,56,56,52323,335483,3205,9228,39808,12428,80231,145,480,,2173,139,627,,,,,2020-03-22 23:59:59.000000 UTC
2020-03-21,56,56,52248,283160,3485,6940,30580,16060,67803,62,335,,1492,316,488,,,,,2020-03-21 23:59:59.000000 UTC
2020-03-20,56,56,49555,230912,3645,6100,23640,11805,51743,70,273,,1042,44,172,,,,,2020-03-20 23:59:59.000000 UTC
2020-03-19,56,56,39258,181357,3340,4606,17540,8361,39938,51,203,,617,34,128,,,,,2020-03-19 23:59:59.000000 UTC
2020-03-18,56,56,32196,142099,2372,3357,12934,5394,31577,26,152,,416,18,94,,,,,2020-03-18 23:59:59.000000 UTC
2020-03-17,56,56,26755,109903,1698,2128,9577,5856,26183,24,126,,325,33,76,,,,,2020-03-17 23:59:59.000000 UTC
2020-03-16,56,56,23114,83148,1834,1711,7449,10931,20327,22,102,,,6,43,,,,,2020-03-16 23:59:59.000000 UTC
2020-03-15,51,51,10202,60034,2117,1262,5738,1987,9396,15,80,,,10,37,,,,,2020-03-15 23:59:59.000000 UTC
2020-03-14,51,51,9816,49832,1236,1026,4476,1876,7409,8,65,,,4,27,,,,,2020-03-14 23:59:59.000000 UTC
2020-03-13,51,51,9733,40016,1035,858,3450,1241,5533,5,57,,,6,23,,,,,2020-03-13 23:59:59.000000 UTC
2020-03-12,51,51,6683,30283,673,677,2592,991,4292,9,52,,,5,17,,,,,2020-03-12 23:59:59.000000 UTC
2020-03-11,51,51,4447,23600,568,418,1915,1021,3301,6,43,,,3,12,,,,,2020-03-11 23:59:59.000000 UTC
2020-03-10,51,51,3322,19153,453,436,1497,494,2280,2,37,,,0,9,,,,,2020-03-10 23:59:59.000000 UTC
2020-03-09,51,51,2055,15831,315,304,1061,442,1786,4,35,,,3,9,,,,,2020-03-09 23:59:59.000000 UTC
2020-03-08,51,51,1130,13776,334,170,757,196,1344,4,31,,,0,6,,,,,2020-03-08 23:59:59.000000 UTC
2020-03-07,51,51,931,12646,521,142,587,274,1148,1,27,,,0,6,,,,,2020-03-07 23:59:59.000000 UTC
2020-03-06,40,40,2177,11715,482,138,445,161,874,6,26,,,1,6,,,,,2020-03-06 23:59:59.000000 UTC
2020-03-05,32,32,1515,9538,211,65,307,132,713,4,20,,,1,5,,,,,2020-03-05 23:59:59.000000 UTC
2020-03-04,26,26,890,8023,106,128,242,576,581,2,16,,,4,4,,,,,2020-03-04 23:59:59.000000 UTC
2020-03-03,16,16,279,7133,,42,114,2,5,3,14,,,0,,,,,,2020-03-03 23:59:59.000000 UTC
2020-03-02,12,12,203,6854,,30,72,1,3,3,11,,,0,,,,,,2020-03-02 23:59:59.000000 UTC
2020-03-01,11,11,96,6651,,24,42,2,2,3,8,,,0,,,,,,2020-03-01 23:59:59.000000 UTC
2020-02-29,8,8,65,6555,,3,18,0,,1,5,,,0,,,,,,2020-02-29 23:59:59.000000 UTC
2020-02-28,7,7,3,6490,,2,15,0,,2,4,,,0,,,,,,2020-02-28 23:59:59.000000 UTC
2020-02-27,7,7,6446,6487,,1,13,0,,0,2,,,0,,,,,,2020-02-27 23:59:59.000000 UTC
2020-02-26,6,6,0,41,,2,12,0,,2,2,,,0,,,,,,2020-02-26 23:59:59.000000 UTC
2020-02-25,6,6,1,41,,1,10,0,,0,0,,,0,,,,,,2020-02-25 23:59:59.000000 UTC
2020-02-24,6,6,2,40,,1,9,0,,0,0,,,0,,,,,,2020-02-24 23:59:59.000000 UTC
2020-02-23,6,6,0,38,,1,8,0,,0,0,,,0,,,,,,2020-02-23 23:59:59.000000 UTC
2020-02-22,6,6,1,38,,0,7,0,,0,0,,,0,,,,,,2020-02-22 23:59:59.000000 UTC
2020-02-21,6,6,1,37,,0,7,0,,0,0,,,0,,,,,,2020-02-21 23:59:59.000000 UTC
2020-02-20,6,6,1,36,,0,7,0,,0,0,,,0,,,,,,2020-02-20 23:59:59.000000 UTC
2020-02-19,6,6,6,35,,0,7,0,,0,0,,,0,,,,,,2020-02-19 23:59:59.000000 UTC
2020-02-18,6,6,0,29,,0,7,0,,0,0,,,0,,,,,,2020-02-18 23:59:59.000000 UTC
2020-02-17,6,6,1,29,,0,7,0,,0,0,,,0,,,,,,2020-02-17 23:59:59.000000 UTC
2020-02-16,6,6,2,28,,0,7,0,,0,0,,,0,,,,,,2020-02-16 23:59:59.000000 UTC
2020-02-15,6,6,4,26,,0,7,0,,0,0,,,0,,,,,,2020-02-15 23:59:59.000000 UTC
2020-02-14,5,5,0,22,,1,7,0,,0,0,,,0,,,,,,2020-02-14 23:59:59.000000 UTC
2020-02-13,5,5,1,22,,1,6,0,,0,0,,,0,,,,,,2020-02-13 23:59:59.000000 UTC
2020-02-12,5,5,1,21,,0,5,0,,0,0,,,0,,,,,,2020-02-12 23:59:59.000000 UTC
2020-02-11,5,5,1,20,,0,5,0,,0,0,,,0,,,,,,2020-02-11 23:59:59.000000 UTC
2020-02-10,5,5,1,19,,0,5,0,,0,0,,,0,,,,,,2020-02-10 23:59:59.000000 UTC
2020-02-09,4,4,0,18,,0,5,0,,0,,,,0,,,,,,2020-02-09 23:59:59.000000 UTC
2020-02-08,4,4,2,18,,0,5,0,,0,,,,0,,,,,,2020-02-08 23:59:59.000000 UTC
2020-02-07,4,4,0,16,,0,5,0,,0,,,,0,,,,,,2020-02-07 23:59:59.000000 UTC
2020-02-06,4,4,1,16,,2,5,0,,0,,,,0,,,,,,2020-02-06 23:59:59.000000 UTC
2020-02-05,4,4,0,15,,0,3,0,,0,,,,0,,,,,,2020-02-05 23:59:59.000000 UTC
2020-02-04,4,4,4,15,,0,3,0,,0,,,,0,,,,,,2020-02-04 23:59:59.000000 UTC
2020-02-03,4,4,3,11,,1,3,0,,0,,,,0,,,,,,2020-02-03 23:59:59.000000 UTC
2020-02-02,4,4,0,8,,0,2,0,,0,,,,0,,,,,,2020-02-02 23:59:59.000000 UTC
2020-02-01,4,4,0,8,,0,2,0,,0,,,,0,,,,,,2020-02-01 23:59:59.000000 UTC
2020-01-31,4,4,3,8,,0,2,0,,0,,,,0,,,,,,2020-01-31 23:59:59.000000 UTC
2020-01-30,4,4,0,5,,0,2,0,,0,,,,0,,,,,,2020-01-30 23:59:59.000000 UTC
2020-01-29,4,4,2,5,,0,2,0,,0,,,,0,,,,,,2020-01-29 23:59:59.000000 UTC
2020-01-28,3,3,0,3,,0,2,0,,0,,,,0,,,,,,2020-01-28 23:59:59.000000 UTC
2020-01-27,3,3,1,3,,0,2,0,,0,,,,0,,,,,,2020-01-27 23:59:59.000000 UTC
2020-01-26,2,2,0,2,,0,2,0,,0,,,,0,,,,,,2020-01-26 23:59:59.000000 UTC
2020-01-25,2,2,0,2,,0,2,0,,0,,,,0,,,,,,2020-01-25 23:59:59.000000 UTC
2020-01-24,2,2,0,2,,0,2,0,,0,,,,0,,,,,,2020-01-24 23:59:59.000000 UTC
2020-01-23,2,2,1,2,,0,2,0,,0,,,,0,,,,,,2020-01-23 23:59:59.000000 UTC
2020-01-22,2,2,1,1,,0,2,0,,0,,,,0,,,,,,2020-01-22 23:59:59.000000 UTC
2020-01-21,1,1,0,0,,1,2,0,,0,,,,0,,,,,,2020-01-21 23:59:59.000000 UTC
2020-01-20,1,1,0,0,,0,1,0,,0,,,,0,,,,,,2020-01-20 23:59:59.000000 UTC
2020-01-19,1,1,0,0,,1,1,0,,0,,,,0,,,,,,2020-01-19 23:59:59.000000 UTC
2020-01-18,1,1,0,0,,0,0,0,,0,,,,0,,,,,,2020-01-18 23:59:59.000000 UTC
2020-01-17,1,1,0,0,,0,0,0,,0,,,,0,,,,,,2020-01-17 23:59:59.000000 UTC
2020-01-16,1,1,0,0,,0,0,0,,0,,,,0,,,,,,2020-01-16 23:59:59.000000 UTC
2020-01-15,1,1,0,0,,0,0,0,,0,,,,0,,,,,,2020-01-15 23:59:59.000000 UTC
2020-01-14,1,1,0,0,,0,0,0,,0,,,,0,,,,,,2020-01-14 23:59:59.000000 UTC
2020-01-13,1,1,0,0,,0,,0,,0,,,,0,,,,,,2020-01-13 23:59:59.000000 UTC
2020-04-02,56,56,131146,1437715,62085,28135,251304,51405,556688,1175,6512,,22995,1320,9322,4513,305,576,32,2020-04-02 23:59:59.000000 UTC
2020-04-01,56,56,123021,1306569,59694,26204,223169,44681,505283,1006,5337,,20906,1302,8002,3937,256,561,32,2020-04-01 23:59:59.000000 UTC
2020-04-10,56,56,155771,2740516,17373,33778,500514,56216,1144432,2081,20108,,53167,1999,18923,12693,1179,5937,39,2020-04-10 23:59:59.000000 UTC
2020-04-09,56,56,171012,2584745,17634,34992,466736,82731,1088216,2054,18027,,51323,965,16924,12445,918,5798,39,2020-04-09 23:59:59.000000 UTC
2020-04-08,56,56,165594,2413733,17273,30964,431744,68034,1005485,1999,15973,,45359,1332,15959,10276,862,4142,39,2020-04-08 23:59:59.000000 UTC
2020-04-06,56,56,137734,2078383,17231,28260,370364,69846,858440,1314,11932,,36159,883,14257,7079,663,2961,39,2020-04-06 23:59:59.000000 UTC
2020-04-05,56,56,129412,1940649,17311,25843,342104,33621,788594,1340,10618,,32180,1131,13374,5811,609,650,39,2020-04-05 23:59:59.000000 UTC
2020-04-04,56,56,231115,1811237,15568,33122,316261,143525,754973,1478,9278,,30456,1732,12243,5500,403,656,39,2020-04-04 23:59:59.000000 UTC
2020-04-03,56,56,142407,1580122,61956,31835,283139,54760,611448,1288,7800,,25723,1189,10511,4928,335,623,39,2020-04-03 23:59:59.000000 UTC
2021-02-21,56,56,1232995,343445115,9442,58702,27880280,156778,71664501,1287,489147,,56159,997,753891,11862,44216,3915,4197,2021-02-21 23:59:59.000000 UTC
2021-02-20,56,56,1290481,342212120,9408,72354,27821578,141790,71507723,2160,487860,,58222,1732,752894,12120,44166,3932,4197,2021-02-20 23:59:59.000000 UTC
2020-08-16,56,56,785200,74050076,4302,42503,5362871,258191,23826651,617,162087,,44155,685,251688,8958,15924,2481,1665,2020-08-16 23:59:59.000000 UTC
2020-08-14,56,56,990725,72371796,4415,57144,5264365,308763,23318852,1226,160243,,45868,2141,249112,9277,15768,2555,1665,2020-08-14 23:59:59.000000 UTC
2021-03-01,56,56,1154440,355138357,11748,48092,28399281,118077,73334501,1241,504488,,46738,1024,766778,9595,44956,3171,4252,2021-03-01 23:59:59.000000 UTC
2021-02-28,56,56,1408422,353983917,11708,54349,28351189,203599,73216424,1051,503247,,47352,879,765754,9802,44907,3245,4252,2021-02-28 23:59:59.000000 UTC
2021-02-27,56,56,1655179,352575495,11731,71245,28296840,205090,73012825,1847,502196,,48871,1428,764875,10114,44875,3335,4252,2021-02-27 23:59:59.000000 UTC
2020-04-13,56,56,125464,3165148,17059,24136,584141,57296,1333459,1630,25515,,56283,2304,23129,14199,1549,6170,158,2020-04-13 23:59:59.000000 UTC
2020-04-12,56,56,140619,3039684,16425,28168,560005,67358,1276163,1698,23885,,55294,694,20825,14188,1449,5962,158,2020-04-12 23:59:59.000000 UTC
2020-06-01,56,56,419554,18619336,3977,20029,1811478,157898,6632978,676,101459,,34327,2752,121001,8354,8486,3950,704,2020-06-01 23:59:59.000000 UTC
2020-05-31,56,56,429140,18199782,3723,21694,1791449,147988,6475080,654,100783,,34914,698,118249,8373,8446,3669,704,2020-05-31 23:59:59.000000 UTC
2020-04-21,56,56,166966,4462056,3937,27354,808917,69105,1881486,2478,42677,,59795,1431,32832,15636,2315,5514,214,2020-04-21 23:59:59.000000 UTC
2020-04-20,56,56,143980,4295090,3983,24376,781563,63578,1812381,1814,40199,,56720,887,31401,15099,2193,5569,214,2020-04-20 23:59:59.000000 UTC
2020-04-19,56,56,148978,4151110,11306,26930,757187,68216,1748803,1765,38385,,56491,734,30514,15005,2145,5603,214,2020-04-19 23:59:59.000000 UTC
2020-04-26,56,56,205595,5742682,4165,27324,969366,75262,2003045,1212,51452,,56167,1109,39373,14753,2571,5119,227,2020-04-26 23:59:59.000000 UTC
2020-04-25,56,56,275824,5537087,5467,40697,942042,120083,1927783,1634,50240,,57346,1234,38264,15056,2516,5266,227,2020-04-25 23:59:59.000000 UTC
2020-04-24,56,56,246096,5261263,4370,31217,901345,75512,1807700,1973,48606,,57367,1198,37030,15274,2468,5194,227,2020-04-24 23:59:59.000000 UTC
2020-04-23,56,56,217920,5015167,4417,31938,870128,64683,1732188,1806,46633,,59215,1409,35832,15407,2428,5463,227,2020-04-23 23:59:59.000000 UTC
2020-04-22,56,56,335191,4797247,4231,29273,838190,-213981,1667505,2150,44827,,59204,1591,34423,15705,2370,5474,227,2020-04-22 23:59:59.000000 UTC
2020-04-28,56,56,216600,6153837,4064,25232,1017002,69502,2134963,2078,54804,,56041,1253,41809,14280,3798,4760,252,2020-04-28 23:59:59.000000 UTC
2020-04-27,56,56,194555,5937237,4030,22404,991770,62416,2065461,1274,52726,,56181,1183,40556,14496,3720,4867,252,2020-04-27 23:59:59.000000 UTC